SaveDate,ProgramName,MainBarcode,SubBarcode,Name,Result,FinalResult
20260320121129,H_MX5A_CTRO_DWLX-REV C.01-PAD CHANGE-1_Copy_16,001163140011100000011,001163140011100000011,AREA_56,OK,OK
20260320121129,H_MX5A_CTRO_DWLX-REV C.01-PAD CHANGE-1_Copy_16,001163140011100000011,001163140011100000011,AREA_57,OK,OK
20260320121129,H_MX5A_CTRO_DWLX-REV C.01-PAD CHANGE-1_Copy_16,001163140011100000011,001163140011100000011,AREA_58,OK,OK
20260320121129,H_MX5A_CTRO_DWLX-REV C.01-PAD CHANGE-1_Copy_16,001163140011100000011,001263140011100000011,AREA_59,OK,OK
20260320121129,H_MX5A_CTRO_DWLX-REV C.01-PAD CHANGE-1_Copy_16,001163140011100000011,001263140011100000011,AREA_60,OK,OK
20260320121129,H_MX5A_CTRO_DWLX-REV C.01-PAD CHANGE-1_Copy_16,001163140011100000011,001263140011100000011,AREA_61,OK,OK
20260320121129,H_MX5A_CTRO_DWLX-REV C.01-PAD CHANGE-1_Copy_16,001163140011100000011,001163140011100000011,AREA_21,OK,OK
20260320121129,H_MX5A_CTRO_DWLX-REV C.01-PAD CHANGE-1_Copy_16,001163140011100000011,001163140011100000011,AREA_22,OK,OK
20260320121129,H_MX5A_CTRO_DWLX-REV C.01-PAD CHANGE-1_Copy_16,001163140011100000011,001163140011100000011,AREA_23,OK,OK
20260320121129,H_MX5A_CTRO_DWLX-REV C.01-PAD CHANGE-1_Copy_16,001163140011100000011,001263140011100000011,AREA_24,OK,OK
20260320121129,H_MX5A_CTRO_DWLX-REV C.01-PAD CHANGE-1_Copy_16,001163140011100000011,001263140011100000011,AREA_25,OK,OK
20260320121129,H_MX5A_CTRO_DWLX-REV C.01-PAD CHANGE-1_Copy_16,001163140011100000011,001263140011100000011,AREA_26,OK,OK
